"CIRCOSCRIZIONE";"COLLPLURINOM";"LISTA";"TOTVOTI";"SEGGILISTA"
"LOMBARDIA 2";"LOMBARDIA 2 - 02";"+EUROPA";19584,00;
"LOMBARDIA 2";"LOMBARDIA 2 - 02";"ITALIA EUROPA INSIEME";2520,00;
"LOMBARDIA 2";"LOMBARDIA 2 - 02";"CIVICA POPOLARE LORENZIN";2541,00;
"LOMBARDIA 2";"LOMBARDIA 2 - 02";"LIBERI E UGUALI";16916,00;
"LOMBARDIA 2";"LOMBARDIA 2 - 02";"POTERE AL POPOLO!";4251,00;
"LOMBARDIA 2";"LOMBARDIA 2 - 02";"CASAPOUND ITALIA";6507,00;
"LOMBARDIA 2";"LOMBARDIA 2 - 02";"IL POPOLO DELLA FAMIGLIA";4731,00;
"LOMBARDIA 2";"LOMBARDIA 2 - 02";"ITALIA AGLI ITALIANI";4725,00;
"LOMBARDIA 2";"LOMBARDIA 2 - 02";"PARTITO VALORE UMANO";1293,00;
"LOMBARDIA 2";"LOMBARDIA 2 - 02";"10 VOLTE MEGLIO";1794,00;
"LOMBARDIA 2";"LOMBARDIA 2 - 02";"PER UNA SINISTRA RIVOLUZIONARIA";1399,00;
"LOMBARDIA 2";"LOMBARDIA 2 - 02";"PARTITO REPUBBLICANO ITALIANO - ALA";460,00;
"LOMBARDIA 2";"LOMBARDIA 2 - 02";"GRANDE NORD";2442,00;
"LOMBARDIA 2";"LOMBARDIA 2 - 02";"BLOCCO NAZIONALE PER LE LIBERTA'";413,00;
"LOMBARDIA 3";"LOMBARDIA 3 - 01";"LEGA";204448,00;2,00
"LOMBARDIA 3";"LOMBARDIA 3 - 01";"FORZA ITALIA";77382,00;1,00
"LOMBARDIA 3";"LOMBARDIA 3 - 01";"FRATELLI D'ITALIA CON GIORGIA MELONI";28289,00;
"LOMBARDIA 3";"LOMBARDIA 3 - 01";"NOI CON L'ITALIA - UDC";5386,00;
"LOMBARDIA 3";"LOMBARDIA 3 - 01";"MOVIMENTO 5 STELLE";115670,00;1,00
"LOMBARDIA 3";"LOMBARDIA 3 - 01";"PARTITO DEMOCRATICO";121291,00;2,00
"LOMBARDIA 3";"LOMBARDIA 3 - 01";"+EUROPA";15013,00;
"LOMBARDIA 3";"LOMBARDIA 3 - 01";"ITALIA EUROPA INSIEME";2288,00;
"LOMBARDIA 3";"LOMBARDIA 3 - 01";"CIVICA POPOLARE LORENZIN";2379,00;
"LOMBARDIA 3";"LOMBARDIA 3 - 01";"LIBERI E UGUALI";16826,00;
"LOMBARDIA 3";"LOMBARDIA 3 - 01";"POTERE AL POPOLO!";5414,00;
"LOMBARDIA 3";"LOMBARDIA 3 - 01";"CASAPOUND ITALIA";7390,00;
"LOMBARDIA 3";"LOMBARDIA 3 - 01";"IL POPOLO DELLA FAMIGLIA";5082,00;
"LOMBARDIA 3";"LOMBARDIA 3 - 01";"ITALIA AGLI ITALIANI";3896,00;
"LOMBARDIA 3";"LOMBARDIA 3 - 01";"10 VOLTE MEGLIO";1261,00;
"LOMBARDIA 3";"LOMBARDIA 3 - 01";"PARTITO REPUBBLICANO ITALIANO - ALA";496,00;
"LOMBARDIA 3";"LOMBARDIA 3 - 01";"GRANDE NORD";2182,00;
"LOMBARDIA 3";"LOMBARDIA 3 - 01";"ITALIA NEL CUORE";574,00;
"LOMBARDIA 3";"LOMBARDIA 3 - 02";"LEGA";230196,00;3,00
"LOMBARDIA 3";"LOMBARDIA 3 - 02";"FORZA ITALIA";84452,00;1,00
"LOMBARDIA 3";"LOMBARDIA 3 - 02";"FRATELLI D'ITALIA CON GIORGIA MELONI";26787,00;1,00
"LOMBARDIA 3";"LOMBARDIA 3 - 02";"NOI CON L'ITALIA - UDC";5488,00;
"LOMBARDIA 3";"LOMBARDIA 3 - 02";"MOVIMENTO 5 STELLE";111838,00;2,00
"LOMBARDIA 3";"LOMBARDIA 3 - 02";"PARTITO DEMOCRATICO";133059,00;2,00
"LOMBARDIA 3";"LOMBARDIA 3 - 02";"+EUROPA";15692,00;
"LOMBARDIA 3";"LOMBARDIA 3 - 02";"ITALIA EUROPA INSIEME";2665,00;
"LOMBARDIA 3";"LOMBARDIA 3 - 02";"CIVICA POPOLARE LORENZIN";2557,00;
"LOMBARDIA 3";"LOMBARDIA 3 - 02";"LIBERI E UGUALI";14502,00;
"LOMBARDIA 3";"LOMBARDIA 3 - 02";"POTERE AL POPOLO!";5880,00;
"LOMBARDIA 3";"LOMBARDIA 3 - 02";"CASAPOUND ITALIA";6723,00;
"LOMBARDIA 3";"LOMBARDIA 3 - 02";"IL POPOLO DELLA FAMIGLIA";4914,00;
"LOMBARDIA 3";"LOMBARDIA 3 - 02";"ITALIA AGLI ITALIANI";3104,00;
"LOMBARDIA 3";"LOMBARDIA 3 - 02";"PARTITO REPUBBLICANO ITALIANO - ALA";552,00;
"LOMBARDIA 3";"LOMBARDIA 3 - 02";"GRANDE NORD";2226,00;
"LOMBARDIA 4";"LOMBARDIA 4 - 01";"LEGA";129819,00;2,00
"LOMBARDIA 4";"LOMBARDIA 4 - 01";"FORZA ITALIA";74974,00;1,00
"LOMBARDIA 4";"LOMBARDIA 4 - 01";"FRATELLI D'ITALIA CON GIORGIA MELONI";18745,00;
"LOMBARDIA 4";"LOMBARDIA 4 - 01";"NOI CON L'ITALIA - UDC";3084,00;
"LOMBARDIA 4";"LOMBARDIA 4 - 01";"MOVIMENTO 5 STELLE";106219,00;2,00
"LOMBARDIA 4";"LOMBARDIA 4 - 01";"PARTITO DEMOCRATICO";89784,00;2,00
"LOMBARDIA 4";"LOMBARDIA 4 - 01";"+EUROPA";11643,00;
"LOMBARDIA 4";"LOMBARDIA 4 - 01";"ITALIA EUROPA INSIEME";1800,00;
"LOMBARDIA 4";"LOMBARDIA 4 - 01";"CIVICA POPOLARE LORENZIN";1418,00;
"LOMBARDIA 4";"LOMBARDIA 4 - 01";"LIBERI E UGUALI";12241,00;
"LOMBARDIA 4";"LOMBARDIA 4 - 01";"POTERE AL POPOLO!";3783,00;
"LOMBARDIA 4";"LOMBARDIA 4 - 01";"CASAPOUND ITALIA";5536,00;
"LOMBARDIA 4";"LOMBARDIA 4 - 01";"IL POPOLO DELLA FAMIGLIA";1785,00;
"LOMBARDIA 4";"LOMBARDIA 4 - 01";"ITALIA AGLI ITALIANI";3491,00;
"LOMBARDIA 4";"LOMBARDIA 4 - 01";"10 VOLTE MEGLIO";1041,00;
"LOMBARDIA 4";"LOMBARDIA 4 - 01";"PER UNA SINISTRA RIVOLUZIONARIA";1170,00;
"LOMBARDIA 4";"LOMBARDIA 4 - 01";"PARTITO REPUBBLICANO ITALIANO - ALA";425,00;
"LOMBARDIA 4";"LOMBARDIA 4 - 02";"LEGA";129487,00;1,00
"LOMBARDIA 4";"LOMBARDIA 4 - 02";"FORZA ITALIA";58459,00;1,00
"LOMBARDIA 4";"LOMBARDIA 4 - 02";"FRATELLI D'ITALIA CON GIORGIA MELONI";17706,00;
"LOMBARDIA 4";"LOMBARDIA 4 - 02";"NOI CON L'ITALIA - UDC";3144,00;
"LOMBARDIA 4";"LOMBARDIA 4 - 02";"MOVIMENTO 5 STELLE";101611,00;1,00
"LOMBARDIA 4";"LOMBARDIA 4 - 02";"PARTITO DEMOCRATICO";97965,00;1,00
"LOMBARDIA 4";"LOMBARDIA 4 - 02";"+EUROPA";9348,00;
"LOMBARDIA 4";"LOMBARDIA 4 - 02";"ITALIA EUROPA INSIEME";2184,00;
"LOMBARDIA 4";"LOMBARDIA 4 - 02";"CIVICA POPOLARE LORENZIN";1621,00;
"LOMBARDIA 4";"LOMBARDIA 4 - 02";"LIBERI E UGUALI";11795,00;
"LOMBARDIA 4";"LOMBARDIA 4 - 02";"POTERE AL POPOLO!";3721,00;
"LOMBARDIA 4";"LOMBARDIA 4 - 02";"CASAPOUND ITALIA";7059,00;
"LOMBARDIA 4";"LOMBARDIA 4 - 02";"IL POPOLO DELLA FAMIGLIA";3501,00;
"LOMBARDIA 4";"LOMBARDIA 4 - 02";"PER UNA SINISTRA RIVOLUZIONARIA";1289,00;
"LOMBARDIA 4";"LOMBARDIA 4 - 02";"PARTITO REPUBBLICANO ITALIANO - ALA";519,00;
"VENETO 1";"VENETO 1 - 01";"LEGA";168878,00;2,00
"VENETO 1";"VENETO 1 - 01";"FORZA ITALIA";59578,00;
"VENETO 1";"VENETO 1 - 01";"FRATELLI D'ITALIA CON GIORGIA MELONI";19779,00;
"VENETO 1";"VENETO 1 - 01";"NOI CON L'ITALIA - UDC";4032,00;
"VENETO 1";"VENETO 1 - 01";"MOVIMENTO 5 STELLE";159550,00;2,00
"VENETO 1";"VENETO 1 - 01";"PARTITO DEMOCRATICO";103009,00;2,00
"VENETO 1";"VENETO 1 - 01";"+EUROPA";15192,00;
"VENETO 1";"VENETO 1 - 01";"ITALIA EUROPA INSIEME";2940,00;
"VENETO 1";"VENETO 1 - 01";"CIVICA POPOLARE LORENZIN";2275,00;
"VENETO 1";"VENETO 1 - 01";"LIBERI E UGUALI";19437,00;
"VENETO 1";"VENETO 1 - 01";"POTERE AL POPOLO!";4579,00;
"VENETO 1";"VENETO 1 - 01";"CASAPOUND ITALIA";4008,00;
"VENETO 1";"VENETO 1 - 01";"IL POPOLO DELLA FAMIGLIA";5228,00;
"VENETO 1";"VENETO 1 - 01";"ITALIA AGLI ITALIANI";3006,00;
"VENETO 1";"VENETO 1 - 01";"PARTITO VALORE UMANO";1761,00;
"VENETO 1";"VENETO 1 - 01";"10 VOLTE MEGLIO";1743,00;
"VENETO 1";"VENETO 1 - 01";"PARTITO REPUBBLICANO ITALIANO - ALA";500,00;
"VENETO 1";"VENETO 1 - 01";"GRANDE NORD";1927,00;
"VENETO 1";"VENETO 1 - 02";"LEGA";189482,00;2,00
"VENETO 1";"VENETO 1 - 02";"FORZA ITALIA";56345,00;1,00
"VENETO 1";"VENETO 1 - 02";"FRATELLI D'ITALIA CON GIORGIA MELONI";22065,00;1,00
"VENETO 1";"VENETO 1 - 02";"NOI CON L'ITALIA - UDC";3656,00;
"VENETO 1";"VENETO 1 - 02";"MOVIMENTO 5 STELLE";121201,00;1,00
"VENETO 1";"VENETO 1 - 02";"PARTITO DEMOCRATICO";93733,00;1,00
"VENETO 1";"VENETO 1 - 02";"+EUROPA";15844,00;
"VENETO 1";"VENETO 1 - 02";"ITALIA EUROPA INSIEME";2660,00;
"VENETO 1";"VENETO 1 - 02";"CIVICA POPOLARE LORENZIN";1867,00;
"VENETO 1";"VENETO 1 - 02";"LIBERI E UGUALI";13526,00;
"VENETO 1";"VENETO 1 - 02";"POTERE AL POPOLO!";3650,00;
"VENETO 1";"VENETO 1 - 02";"CASAPOUND ITALIA";4458,00;
"VENETO 1";"VENETO 1 - 02";"IL POPOLO DELLA FAMIGLIA";5215,00;
"VENETO 1";"VENETO 1 - 02";"ITALIA AGLI ITALIANI";3244,00;
"VENETO 1";"VENETO 1 - 02";"PARTITO VALORE UMANO";2333,00;
"VENETO 1";"VENETO 1 - 02";"10 VOLTE MEGLIO";2207,00;
"VENETO 1";"VENETO 1 - 02";"PARTITO REPUBBLICANO ITALIANO - ALA";566,00;
"VENETO 1";"VENETO 1 - 02";"GRANDE NORD";2179,00;
"VENETO 2";"VENETO 2 - 01";"LEGA";174474,00;2,00
"VENETO 2";"VENETO 2 - 01";"FORZA ITALIA";62102,00;1,00
"VENETO 2";"VENETO 2 - 01";"FRATELLI D'ITALIA CON GIORGIA MELONI";22768,00;
"VENETO 2";"VENETO 2 - 01";"NOI CON L'ITALIA - UDC";5755,00;
"VENETO 2";"VENETO 2 - 01";"MOVIMENTO 5 STELLE";136982,00;2,00
"VENETO 2";"VENETO 2 - 01";"PARTITO DEMOCRATICO";95223,00;1,00
"VENETO 2";"VENETO 2 - 01";"+EUROPA";16332,00;
"VENETO 2";"VENETO 2 - 01";"ITALIA EUROPA INSIEME";2580,00;
"VENETO 2";"VENETO 2 - 01";"CIVICA POPOLARE LORENZIN";2269,00;
"VENETO 2";"VENETO 2 - 01";"LIBERI E UGUALI";16335,00;
"VENETO 2";"VENETO 2 - 01";"POTERE AL POPOLO!";3565,00;
"VENETO 2";"VENETO 2 - 01";"CASAPOUND ITALIA";4574,00;
"VENETO 2";"VENETO 2 - 01";"IL POPOLO DELLA FAMIGLIA";4662,00;
"VENETO 2";"VENETO 2 - 01";"ITALIA AGLI ITALIANI";3845,00;
"VENETO 2";"VENETO 2 - 01";"PARTITO VALORE UMANO";1979,00;
"VENETO 2";"VENETO 2 - 01";"10 VOLTE MEGLIO";1985,00;
"VENETO 2";"VENETO 2 - 01";"PARTITO REPUBBLICANO ITALIANO - ALA";692,00;
"VENETO 2";"VENETO 2 - 01";"GRANDE NORD";1881,00;
"VENETO 2";"VENETO 2 - 02";"LEGA";179507,00;2,00
"VENETO 2";"VENETO 2 - 02";"FORZA ITALIA";48569,00;
